metric_family,source_name,task_name,model_id,comparison_split,n_pairs,seed_count,hidden_dim_count,standard_test_n_median,comparison_test_n_median,mean_delta,median_delta,sd_delta,sem_delta,seed_t_ci95_low,seed_t_ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,positive_delta_n,negative_delta_n,zero_delta_n,sign_consistency,sign_test_p,ci_available,ci_excludes_zero,uncertainty_source,uncertainty_status,direction,model_order
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_mlp_gpu,nn08_removed,40,20,2,1452.0,56.0,0.5028406090649475,0.4963761762242283,0.0280142015299471,0.0044294341832803,0.493888722580538,0.5117924955493571,0.4943581786464787,0.5115548946480267,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,2
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_mlp_gpu,scaffold_removed,40,20,2,1452.0,379.0,0.0127002347333968,0.0088648487134397,0.028141663240438,0.0044495876492609,0.0037076180942404,0.0216928513725532,0.0049884391316838,0.0222850230425701,27,13,0,0.675,0.0384773082842002,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,2
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_xgb,density_matched_clean,5,5,1,1452.0,100.0,0.0230822811025819,0.0300235581925129,0.0261374992609196,0.0116890450218533,-0.0093665078780829,0.0555310700832469,0.0033057571200901,0.0428588050850738,3,2,0,0.6,1.0,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,1
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_xgb,exact_removed,5,5,1,1452.0,100.0,0.0230822811025819,0.0300235581925129,0.0261374992609196,0.0116890450218533,-0.0093665078780829,0.0555310700832469,0.0033057571200901,0.0428588050850738,3,2,0,0.6,1.0,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,1
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_xgb,nn08_removed,5,5,1,1452.0,56.0,0.0782775325864932,0.0616995429808621,0.0970574639897121,0.0434054174409468,-0.0422159062295752,0.1987709714025617,0.0036169660395103,0.149898358551842,4,1,0,0.8,0.375,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,1
bace_tox21_feature_mlp,moleculenet,Tox21,morgan_xgb,scaffold_removed,5,5,1,1452.0,379.0,0.2468871582549423,0.2496674574193647,0.0297762296770371,0.0133163347343003,0.2099210130325246,0.28385330347736,0.2248165425887031,0.2690399572630485,5,0,0,1.0,0.0625,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,1
bbbp_clintox_model_family,moleculenet,BBBP,smiles_cnn,density_matched_clean,40,20,2,408.0,38.0,-0.025515678026018,-0.0258719272965595,0.0106972096742984,0.0016913773589585,-0.0289339516684733,-0.0220974043835628,-0.0287695641282354,-0.0222555143727162,0,40,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,3
bbbp_clintox_model_family,moleculenet,BBBP,smiles_cnn,exact_removed,40,20,2,408.0,66.0,-0.03554150299015,-0.0336720215759849,0.0077293032247304,0.0012221101458116,-0.0380113875948353,-0.0330716183854648,-0.0380304410125306,-0.0333068054517308,0,40,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,3
bbbp_clintox_model_family,moleculenet,BBBP,smiles_cnn,nn08_removed,40,20,2,408.0,47.0,-0.0325922030804843,-0.0320334757834757,0.0102494373511815,0.0016205783382468,-0.0358673919020811,-0.0293170142588874,-0.0357823517628205,-0.02949528690349,0,40,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,3
bbbp_clintox_model_family,moleculenet,BBBP,smiles_cnn,scaffold_removed,40,20,2,408.0,49.0,0.0508622128739316,0.052600827991453,0.0215037432806559,0.0034000403493207,0.0439907313279544,0.0577336944199087,0.0442208888388087,0.0575612125233707,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,3
bbbp_clintox_model_family,moleculenet,BBBP,smiles_gru,density_matched_clean,40,20,2,408.0,38.0,-0.0502492047500089,-0.0548066682602528,0.0265668209083673,0.0042005832130112,-0.0587385834235046,-0.0417598260765133,-0.0580449387787967,-0.0416849699364922,2,38,0,0.95,1.4933903003111482e-09,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,4
bbbp_clintox_model_family,moleculenet,BBBP,smiles_gru,exact_removed,40,20,2,408.0,66.0,-0.0611197383292943,-0.0652991860146965,0.0172206479526119,0.0027228235157084,-0.0666225646545411,-0.0556169120040475,-0.06619845919121,-0.055731352552295,0,40,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,4
bbbp_clintox_model_family,moleculenet,BBBP,smiles_gru,nn08_removed,40,20,2,408.0,47.0,-0.0584671863871082,-0.0634014423076923,0.0193425057627317,0.0030583186932582,-0.0646480484661831,-0.0522863243080333,-0.0642663261217948,-0.0524596715856481,0,40,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,4
bbbp_clintox_model_family,moleculenet,BBBP,smiles_gru,scaffold_removed,40,20,2,408.0,49.0,-0.0191260182959401,-0.0188468215811966,0.0317239087344751,0.0050159903942125,-0.0292633348826437,-0.0089887017092365,-0.028529803936298,-0.0092794199886484,11,29,0,0.725,0.0064265760956914,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,4
bbbp_clintox_model_family,moleculenet,BBBP,smiles_transformer,density_matched_clean,40,20,2,408.0,38.0,-0.0643646185437315,-0.0621554010225884,0.0372526274420772,0.0058901575771328,-0.0762686270071169,-0.0524606100803461,-0.0758016629127612,-0.0528361841656734,2,38,0,0.95,1.4933903003111482e-09,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,5
bbbp_clintox_model_family,moleculenet,BBBP,smiles_transformer,exact_removed,40,20,2,408.0,66.0,-0.0605832767387169,-0.061321871091307,0.0267749592653477,0.0042334927768363,-0.0691391656407032,-0.0520273878367306,-0.0686223556979785,-0.0523562048362746,1,39,0,0.975,7.457856554538012e-11,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,5
bbbp_clintox_model_family,moleculenet,BBBP,smiles_transformer,nn08_removed,40,20,2,408.0,47.0,-0.0595698395210113,-0.0619190705128204,0.0323311955295418,0.0051120108674803,-0.069901213484189,-0.0492384655578337,-0.0693610971999643,-0.0495914261429397,1,39,0,0.975,7.457856554538012e-11,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,5
bbbp_clintox_model_family,moleculenet,BBBP,smiles_transformer,scaffold_removed,40,20,2,408.0,49.0,-0.0160210503472222,-0.0253405448717948,0.0479615063115191,0.007583379997847,-0.0313470613228711,-0.0006950393715732,-0.030285425430689,-0.0010278215978899,14,26,0,0.65,0.0806904677519924,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,5
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_cnn,density_matched_clean,40,20,2,295.0,140.0,-0.0343004477284598,-0.0358817639029569,0.0163924882660017,0.0025918799719074,-0.0395386371516848,-0.0290622583052348,-0.0392126312487915,-0.0293075314116937,1,39,0,0.975,7.457856554538012e-11,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,3
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_cnn,exact_removed,40,20,2,295.0,155.0,-0.0153314670688317,-0.0144990388672698,0.0197895181184339,0.003128997552571,-0.0216551711225778,-0.0090077630150856,-0.0212843111686748,-0.0092798146498507,7,33,0,0.825,4.2277022657799534e-05,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,3
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_cnn,nn08_removed,40,20,2,295.0,114.0,-0.024419502926779,-0.0216624247006661,0.0221649479005662,0.0035045859792378,-0.0315022711908187,-0.0173367346627393,-0.0311369727937339,-0.0176049864399078,5,35,0,0.875,1.382612026645802e-06,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,3
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_cnn,scaffold_removed,40,20,2,295.0,75.0,0.0215436441213479,0.0225906510833071,0.0288138188153665,0.0045558647771986,0.0123362414066295,0.0307510468360664,0.0126732307653209,0.0305834195335981,32,8,0,0.8,0.0001821658297558,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,3
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_gru,density_matched_clean,40,20,2,295.0,140.0,-0.0278422388443036,-0.0645620687565471,0.0783410879761412,0.0123868136190118,-0.0528759891683265,-0.0028084885202806,-0.0498004845221295,-0.001790626614232,11,29,0,0.725,0.0064265760956914,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,4
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_gru,exact_removed,40,20,2,295.0,155.0,-0.0175413886153958,-0.0528818353728101,0.0818747825194276,0.0129455397846165,-0.0437043245201058,0.0086215472893141,-0.0408440931686645,0.0093157130549955,12,28,0,0.7,0.0165890033749747,True,False,seed_replicate,seed_replicate_ci_available,comparison_higher,4
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_gru,nn08_removed,40,20,2,295.0,114.0,-0.0324850732493459,-0.058126470932771,0.0774166852513119,0.0122406527147255,-0.0572234323858062,-0.0077467141128856,-0.0543202809681266,-0.0074883329295478,10,30,0,0.75,0.0022214337732293,True,True,seed_replicate,seed_replicate_ci_available,comparison_higher,4
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_gru,scaffold_removed,40,20,2,295.0,75.0,0.0013720609487386,-0.0132549220007802,0.0720770840697125,0.0113963876381865,-0.0216600384680362,0.0244041603655136,-0.0198743184684239,0.024205526329888,17,23,0,0.575,0.4295905078433861,True,False,seed_replicate,seed_replicate_ci_available,standard_higher,4
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_transformer,density_matched_clean,40,20,2,295.0,140.0,0.5633650660698878,0.6281126723170201,0.1905069107857072,0.0301217874042666,0.502488933725865,0.6242411984139106,0.5025434151776053,0.6195556830708718,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,5
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_transformer,exact_removed,40,20,2,295.0,155.0,0.5643700413104746,0.6273995759555328,0.1857539384342897,0.0293702764899523,0.5050127125242809,0.6237273700966683,0.5045282635535343,0.618196979138992,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,5
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_transformer,nn08_removed,40,20,2,295.0,114.0,0.5409984460915342,0.6047916466992536,0.2069368204184064,0.0327195842137701,0.4748721663955048,0.6071247257875636,0.4748851119417555,0.6029007243511921,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,5
bbbp_clintox_model_family,moleculenet,ClinTox,smiles_transformer,scaffold_removed,40,20,2,295.0,75.0,0.2894990219189071,0.2666534790564264,0.1733550900671613,0.027409846429793,0.2341037222842953,0.3448943215535189,0.2388316687409678,0.344054620059454,40,0,0,1.0,1.8189894035458565e-12,True,True,seed_replicate,seed_replicate_ci_available,standard_higher,5
