fm_model_id,source_name,task_name,split_name,head_model,seeds,test_n,auroc_mean,auprc_mean,balanced_accuracy_mean,valid_metric_value_count,metric_status,wrapper_scope_note,source_table
chemberta_100m_mlm,chembl_bioactivity,CYP1A2_pchembl5_temporal,density_matched_clean,logistic_regression,5,31.0,,,1.0,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,Tox21,exact_removed,logistic_regression,5,100.0,0.6151202749140894,0.0648076923076923,0.4690721649484536,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,Tox21,nn08_removed,logistic_regression,5,56.0,0.2181818181818181,0.0227272727272727,0.4909090909090909,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,Tox21,scaffold_removed,logistic_regression,5,379.0,0.493048128342246,0.0149367063337065,0.4839572192513369,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,Tox21,standard,logistic_regression,5,1452.0,0.7619268279540924,0.3488138749221178,0.7016218546257881,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,BBBP,density_matched_clean,logistic_regression,5,38.0,0.9523809523809524,0.9627450980392156,0.869747899159664,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,BBBP,exact_removed,logistic_regression,5,50.0,,,0.9,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,BBBP,nn08_removed,logistic_regression,5,34.0,,,0.9411764705882352,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,BBBP,scaffold_removed,logistic_regression,5,33.0,,,0.909090909090909,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,BBBP,standard,logistic_regression,5,410.0,,,0.8829268292682928,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,ClinTox,density_matched_clean,logistic_regression,5,140.0,0.2446043165467625,0.9901032816878674,0.4856115107913669,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,ClinTox,exact_removed,logistic_regression,5,155.0,0.2337662337662337,0.9907644357411944,0.4772727272727273,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,ClinTox,nn08_removed,logistic_regression,5,114.0,0.2743362831858407,0.988855765746976,0.4734513274336283,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,ClinTox,scaffold_removed,logistic_regression,5,75.0,0.6678082191780822,0.9856608803540026,0.7089041095890412,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,ClinTox,standard,logistic_regression,5,295.0,0.8218010429201765,0.98314663470605,0.6825110308864821,3,valid_auroc_auprc_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,BACE,density_matched_clean,logistic_regression,5,41.0,,,0.7317073170731707,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,BACE,exact_removed,logistic_regression,5,223.0,,,0.7533632286995515,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,BACE,nn08_removed,logistic_regression,5,176.0,,,0.75,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,BACE,scaffold_removed,logistic_regression,5,169.0,,,0.7455621301775148,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
chemberta_100m_mlm,moleculenet,BACE,standard,logistic_regression,5,303.0,,,0.7854785478547854,1,balanced_accuracy_only_rows,supplement-only frozen-embedding wrapper applicability evidence; not model-specific ChEMBL-use evidence,results/tables/chemberta_100m_fm_summary.csv
